,0,1,2,3,4
444,3.0,3.0,3.0,3.0,3.0
445,2.6,1.9,3.75,3.5,3.2
446,2.75,2.8,2.75,3.05,2.85
447,3.0,3.0,3.0,3.0,3.0
448,1.6,2.35,3.9,3.75,3.35
449,2.9,3.7,3.6,3.6,3.6
450,2.8,2.75,3.45,3.4,3.35
451,2.3,3.35,3.35,3.4,3.45
452,2.1,4.05,4.0,3.85,2.95
453,2.45,2.6,2.8,2.65,2.55
454,1.55,3.8,3.7,3.15,4.1
455,2.2,3.35,3.3,2.85,3.6
456,3.15,2.65,3.15,2.65,2.75
457,1.7,3.0,3.35,3.0,3.1
458,2.85,2.75,3.05,2.85,3.25
459,1.4,3.65,3.4,4.2,4.1
460,2.35,3.2,3.2,3.2,3.3
461,1.8,3.6,3.15,2.4,3.7
462,2.8,4.2,4.0,4.2,4.6
463,2.4,3.0,3.0,2.4,3.05
464,1.5,2.5,4.4,2.95,4.4
465,2.4,3.4,2.6,3.3,3.3
466,2.25,2.9,3.1,2.85,2.9
467,2.4,3.45,3.3,3.8,3.6
468,1.9,4.45,4.35,4.0,4.0
469,2.65,3.35,3.0,3.3,3.0
470,2.4,4.4,4.4,4.1,4.6
471,1.7,2.4,2.95,2.4,4.1
472,1.95,2.85,2.5,3.75,3.65
473,3.0,2.9,3.6,3.35,3.4
474,3.0,2.85,3.75,3.45,3.75
475,1.8,2.8,3.2,3.5,3.2
476,1.6,3.4,4.2,4.2,4.2
477,2.85,3.4,3.2,3.05,3.3
478,1.8,3.15,4.05,3.05,4.0
479,1.8,4.1,4.5,1.55,4.55
480,1.6,4.05,4.0,4.05,4.0
481,1.9,3.65,3.5,3.1,3.65
482,1.6,3.0,3.75,3.0,3.6
483,2.4,3.25,2.95,3.25,3.5
484,3.3,4.35,4.2,4.3,4.3
485,2.7,2.5,2.7,3.0,2.55
486,3.0,3.75,4.1,4.15,4.45
487,1.3,3.55,3.8,4.5,3.6
488,3.0,3.2,3.1,3.4,3.25
